Date,ISIN,Type,Quantite,Prix_Unitaire_EUR,Portefeuille
2024-05-27,FR0000120628,Achat,0.018463,33.59,CTO
2024-05-27,FR0000120628,Achat,11.0,33.59,CTO
2024-05-27,US57636Q1040,Achat,0.479846,416.75,CTO
2024-05-27,FR0000125486,Achat,0.081526,115.3,CTO
2024-05-27,FR0000125486,Achat,2.0,115.3,CTO
2024-05-27,IE00B5BMR087,Achat,0.465892,515.14,CTO
2024-05-27,LU0322250985,Achat,2.0,83.97,CTO
2024-05-27,LU0322250985,Achat,0.858163,83.97,CTO
2024-05-27,FR0000120628,Achat,5.0,33.59,CTO
2024-05-27,FR0000120628,Achat,0.954153,33.59,CTO
2024-05-27,FR0000125486,Achat,0.734605,115.3,CTO
2024-05-27,FR0000125486,Achat,1.0,115.3,CTO
2024-05-27,US57636Q1040,Achat,0.480134,416.55,CTO
2024-05-27,IE00B5BMR087,Achat,0.388274,515.08,CTO
2024-05-27,LU0322250985,Achat,0.334166,83.97,CTO
2024-05-27,LU0322250985,Achat,2.0,83.97,CTO
2024-05-27,US2546871060,Achat,0.1065,93.7,CTO
2024-05-28,US9311421039,Achat,0.323313,59.88,CTO
2024-05-28,US9311421039,Achat,3.0,59.88,CTO
2024-06-28,IE00B5BMR087,Achat,0.460948,542.36,CTO
2024-06-28,US9311421039,Achat,0.921568,63.75,CTO
2024-06-28,US9311421039,Achat,3.0,63.75,CTO
2024-06-28,US7134481081,Achat,0.604209,155.84,CTO
2024-06-28,US7134481081,Achat,1.0,155.84,CTO
2024-06-28,US1912161007,Achat,0.182,59.78,CTO
2024-06-28,US1912161007,Achat,4.0,59.78,CTO
2024-06-28,US2546871060,Vente,0.1065,95.71,CTO
2024-06-28,FR0000133308,Achat,0.180391,9.302,CTO
2024-06-28,FR0000133308,Achat,11.0,9.302,CTO
2024-07-07,ETH,Achat,0.034865,2839.4,Crypto
2024-07-18,ETH,Vente,0.034865,3122.7,Crypto
2024-07-18,IE00B4L5Y983,Achat,1.0,95.444,CTO
2024-07-18,IE00B4L5Y983,Achat,0.121076,95.444,CTO
2024-07-26,US5949181045,Achat,1.0,391.45,CTO
2024-07-26,US1912161007,Achat,1.619695,61.74,CTO
2024-07-26,US7134481081,Achat,0.631153,158.42,CTO
2024-07-26,US9311421039,Achat,0.55836,64.16,CTO
2024-07-26,US9311421039,Achat,1.0,64.16,CTO
2024-07-26,IE00B5BMR087,Achat,0.1961,530.32,CTO
2024-08-28,US9311421039,Achat,2.0,68.6,CTO
2024-08-28,US9311421039,Achat,0.915451,68.6,CTO
2024-08-28,US1912161007,Achat,1.524579,64.28,CTO
2024-08-28,US57636Q1040,Achat,0.231606,427.4,CTO
2024-08-28,FR0000133308,Achat,9.0,10.39,CTO
2024-08-28,FR0000133308,Achat,0.624639,10.39,CTO
2024-08-28,IE00B5BMR087,Achat,0.187062,534.58,CTO
2024-08-28,US9311421039,Achat,0.457725,68.6,CTO
2024-08-28,US9311421039,Achat,1.0,68.6,CTO
2024-08-28,US1912161007,Achat,1.493233,64.29,CTO
2024-09-05,IE00B5BMR087,Achat,0.02091,526.04,CTO
2024-10-10,US9311421039,Achat,0.358695,73.6,CTO
2024-10-10,US9311421039,Achat,1.0,73.6,CTO
2024-10-10,IE00B5BMR087,Achat,0.178539,560.1,CTO
2024-10-10,FR0000120628,Achat,0.878526,34.74,CTO
2024-10-10,FR0000120628,Achat,2.0,34.74,CTO
2024-10-10,US1912161007,Achat,0.569119,63.73,CTO
2024-10-10,US1912161007,Achat,1.0,63.73,CTO
2024-10-10,US57636Q1040,Achat,0.21865,457.35,CTO
2024-10-10,NL0000235190,Achat,1.0,128.12,CTO
2024-10-10,NL0000235190,Achat,0.951295,128.12,CTO
2024-10-22,FR0000120628,Achat,0.056227,35.57,CTO
2024-10-29,NL0000235190,Achat,0.408151,141.34,CTO
2024-10-29,NL0000235190,Achat,1.0,141.34,CTO
2024-10-29,US57636Q1040,Achat,0.422146,471.4,CTO
2024-10-29,US9311421039,Achat,0.304291,76.67,CTO
2024-10-29,US9311421039,Achat,1.0,76.67,CTO
2024-10-29,IE00B5BMR087,Achat,0.017534,570.32,CTO
2024-10-29,FR0000120628,Achat,0.48377,35.43,CTO
2024-10-29,FR0000120628,Achat,2.0,35.43,CTO
2024-10-31,FR0000120578,Achat,0.029162,98.07,CTO
2024-10-31,FR0000120578,Achat,2.0,98.07,CTO
2024-11-19,FR0000125486,Vente,0.816131,99.64,CTO
2024-11-19,FR0000125486,Vente,3.0,99.64,CTO
2024-12-02,IE00B5BMR087,Achat,0.327396,610.88,CTO
2024-12-02,US02079K3059,Achat,1.221299,163.76,CTO
2024-12-02,IE00B4L5Y983,Achat,1.892756,105.666,CTO
2024-12-02,US67066G1040,Achat,1.506931,132.72,CTO
2024-12-04,FR0000120628,Vente,0.391139,32.92,CTO
2024-12-04,FR0000120628,Vente,22.0,32.92,CTO
2024-12-04,US67066G1040,Achat,0.083032,138.5,CTO
2024-12-04,US67066G1040,Achat,1.0,138.5,CTO
2024-12-04,US9311421039,Achat,0.531204,89.56,CTO
2024-12-04,US9311421039,Achat,6.0,89.56,CTO
2025-01-02,NL0000235190,Achat,0.630994,158.48,CTO
2025-01-02,FR0000120073,Achat,0.646412,154.7,CTO
2025-01-02,IE00B5BMR087,Achat,0.163837,610.36,CTO
2025-01-02,US02079K3059,Achat,0.539432,185.38,CTO
2025-01-02,US9311421039,Achat,1.137397,87.92,CTO
2025-01-02,US57636Q1040,Achat,0.195388,511.8,CTO
2025-01-02,US7134481081,Achat,0.677048,147.7,CTO
2025-01-02,US5949181045,Achat,0.243309,411.0,CTO
2025-01-02,US67066G1040,Achat,0.743052,134.58,CTO
2025-01-02,US1912161007,Achat,1.650709,60.58,CTO
